Category	Artifact	Signal	Evidence	Snippet
Data	Source/LV5_1/Fluke 8840A.vi	The Fluke DVM VI name shows the legacy calibration explicitly references the 8840A instrument.	strings/Source_LV5_1_Fluke_8840A.vi.strings.txt:3	Fluke 8840A.vi
Data	Source/LV5_1/Mainb_ii.llb	Reproduces the same Mainboard tester instructions, so this VI sequence drives the physical test order.	strings/Source_LV5_1_Mainb_ii.llb.strings.txt:24577	Mainboard tester (#74C216-1).
Data	Source/LV5_1/Pwrtest.llb	PWRtest VI names repeat, documenting the power-phase instrumentation the wizard sends.	strings/Source_LV5_1_Pwrtest.llb.strings.txt:13185	PWRtest.VI
Data	Source/LV6/103f_cal.llb	AI/AO allocation logging is once again present, revealing the same NI wiring for another version.	strings/Source_LV6_103f_cal.llb.strings.txt:16	DAQTABLS: AI_TASK ALLOCATE, device %d, group %d...
Data	Source/LV6/Fluke 8840A.vi	An additional Fluke 8840A VI ensures the later LabVIEW build still references that DVM.	strings/Source_LV6_Fluke_8840A.vi.strings.txt:3	Fluke 8840A.vi
Data	Source/LV6/Mainb_ii.llb	Mainboard setup instructions repeat, underscoring the consistent hardware dependency for that VI set.	strings/Source_LV6_Mainb_ii.llb.strings.txt:28948	1) Plug in and turn on LC103 Mainboard test box.
Data	Source/LV6/Pwrtest.llb	Text describing VXIbus byte transfers links the VI to the message-based device protocol the legacy flow requires.	strings/Source_LV6_Pwrtest.llb.strings.txt:9	Transfers the specified number of data bytes from a Message-Based device...
Data	Source/lv8/103f_cal.llb	LabVIEW 8 branch still references serial/file helpers (Open/Create/Replace File) that are critical to replay.	strings/Source_lv8_103f_cal.llb.strings.txt:35	Open/Create/Replace File.vi
Data	Source/lv8/warnings.txt	Warnings mention LabVIEW 8.6 replacements/resolution for Beep.vi, pointing at system library dependencies.	strings/Source_lv8_warnings.txt.strings.txt:1	\Atlas\Shared\Cal-Test\LC103\Source\lv8\103f_cal.llb\103FINAL.VI...
Config	VERSION.DAT	Top-level version indicator duplicates VER1.50, so tooling knows which legacy revision is targeted.	strings/VERSION.DAT.strings.txt:1	LAST KNOWN LC103 SOFTWARE REV. IS:  VER1.50
Config	configData.nce	Binary config again enumerates tokens such as dTime, supplying metadata the runtime consumes.	strings/configData.nce.strings.txt:3	dTime
Data	nidaq32.zip	Archive listing includes nidaq32.dll, so it supplies the actual remote driver the legacy app will load.	strings/nidaq32.zip.strings.txt:2	nidaq32.dll
Data	nidaq32/README.txt	README explains how the downloaded driver bundle should be used, capturing the dependency context.	strings/nidaq32_README.txt.strings.txt:1	This file was provided by: https://www.dll-files.com/
Library	nidaq32/nidaq32.dll	SCXI_* exports (Remote Config, Module Write) show the driver offers advanced NI-DAQ controls referenced during calibration.	strings/nidaq32_nidaq32.dll.strings.txt:13200	SCXI_Module_Write
