category	canonical	first_source	first_line	occurrences	sources
connections	=Short the UUT leads to the	Final_Cal_103FIN.EXE.strings.txt	53978	12	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
connections	@@cShort the UUT leads to the Capacitance Decade box(LTerminal).	Final_Cal_103FIN.EXE.strings.txt	72965	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	ARcShort the UUT leads to the Capacitance Decade box(LTerminal).	Final_Cal_103FIN.EXE.strings.txt	73086	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	Capacitance Decade Box (High Terminal).HConnect the black UUT lead to the	Final_Cal_103FIN.EXE.strings.txt	55109	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Capacitance Decade Box (Low Terminal).GNow connect the red lead to the	Source_LV5_1_103f_cal.llb.strings.txt	45300	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Connect the '+' DVM lead to TP1006	Final_Cal_103FIN.EXE.strings.txt	66329	7	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	DKCJBI@GAHBNow connect the red lead to the	Final_Cal_103FIN.EXE.strings.txt	53975	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	fConnect the UUT and/or DVM leads to	Final_Cal_103FIN.EXE.strings.txt	62678	22	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	GNow connect the red lead to the	Final_Cal_103FIN.EXE.strings.txt	55017	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	HConnect the black UUT lead to the	Final_Cal_103FIN.EXE.strings.txt	55015	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Inductance Decade Box (H Terminal)3Short the UUT leads to the	Final_Cal_103FIN.EXE.strings.txt	53986	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
connections	Inductance Decade Box (H Terminal)=Short the UUT leads to the	Final_Cal_103FIN.EXE.strings.txt	53969	30	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
connections	Inductance Decade Box (H Terminal)BNow connect the red lead to the	Source_LV5_1_103f_cal.llb.strings.txt	46584	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Inductance Decade Box (L Terminal)=Short the UUT leads to the	Source_LV5_1_103f_cal.llb.strings.txt	46580	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Inductance Decade Box (L Terminal)BNow connect the red lead to the	Final_Cal_103FIN.EXE.strings.txt	53979	34	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
connections	KSomething seems to be wrong. Make sure the UUT leads are shorted together.	Final_Cal_103FIN.EXE.strings.txt	50291	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	Lead Zero Short Test/ESRKSomething seems to be wrong. Make sure the UUT leads are shorted together.?	Source_LV5_1_103f_cal.llb.strings.txt	50306	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Low Value Inductance Box3Short the UUT leads to the	Source_LV5_1_103f_cal.llb.strings.txt	46567	4	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Make sure the UUT leads are shorted together.	Final_Cal_103FIN.EXE.strings.txt	50293	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	Now connect the red lead to the	Final_Cal_103FIN.EXE.strings.txt	55108	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	omething seems to be wrong. Make sure the UUT leads are shorted together.QD	Final_Cal_103FIN.EXE.strings.txt	50221	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when finished.	Final_Cal_103FIN.EXE.strings.txt	66332	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Press 'Enter' when finished.d	Final_Cal_103FIN.EXE.strings.txt	66389	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when finished.H	Source_LV5_1_103f_cal.llb.strings.txt	36946	1	Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.	Final_Cal_103FIN.EXE.strings.txt	62983	45	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready._	Final_Cal_103FIN.EXE.strings.txt	62680	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.cShort the UUT leads to the Capacitance Decade box(LTerminal).	Source_LV5_1_103f_cal.llb.strings.txt	30532	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.g	Final_Cal_103FIN.EXE.strings.txt	62724	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.MD	Final_Cal_103FIN.EXE.strings.txt	72966	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.PD	Final_Cal_103FIN.EXE.strings.txt	70824	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.RE	Source_LV5_1_103f_cal.llb.strings.txt	32812	2	Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.T	Final_Cal_103FIN.EXE.strings.txt	62728	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.V	Final_Cal_103FIN.EXE.strings.txt	62711	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	Press 'Enter' when ready.W	Final_Cal_103FIN.EXE.strings.txt	62738	8	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	q,Make sure the red UUT lead is not connected.	Final_Cal_103FIN.EXE.strings.txt	51393	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	0 Sense Resistor	Final_Cal_103FIN.EXE.strings.txt	82666	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	2 Cal Box Setup #	Final_Cal_103FIN.EXE.strings.txt	82668	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	3 8842 Mult. factorU	Final_Cal_103FIN.EXE.strings.txt	82669	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	Load Select	Final_Cal_103FIN.EXE.strings.txt	78690	122	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
load_dvm_meta	Load Select"	Source_LV5_1_103f_cal.llb.strings.txt	72203	3	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	Load Select"/	Final_Cal_103FIN.EXE.strings.txt	80645	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load Select"=	Final_Cal_103FIN.EXE.strings.txt	81996	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load Select"B	Final_Cal_103FIN.EXE.strings.txt	79417	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load Select"N	Final_Cal_103FIN.EXE.strings.txt	83409	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load Select"O	Final_Cal_103FIN.EXE.strings.txt	84827	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load Select&	Source_LV5_1_103f_cal.llb.strings.txt	23413	6	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	Load Select* P	Final_Cal_103FIN.EXE.strings.txt	78916	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load Select2	Source_LV6_103f_cal.llb.strings.txt	25819	1	Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	Load Selectd2	Final_Cal_103FIN.EXE.strings.txt	86370	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load Selectd=	Final_Cal_103FIN.EXE.strings.txt	81991	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load SelectdB	Final_Cal_103FIN.EXE.strings.txt	79402	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load SelectdO	Final_Cal_103FIN.EXE.strings.txt	84817	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
load_dvm_meta	Load SelectL	Source_LV5_1_103f_cal.llb.strings.txt	23443	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	Load SelectP	Source_LV5_1_103f_cal.llb.strings.txt	67127	4	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
load_dvm_meta	Load SelectPTH0	Final_Cal_103FIN.EXE.strings.txt	80341	28	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	/A Test`	Final_Cal_103FIN.EXE.strings.txt	62691	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	/A Teste	Final_Cal_103FIN.EXE.strings.txt	87066	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	/A TestHDli3	Source_LV6_103f_cal.llb.strings.txt	22851	1	Source_LV6_103f_cal.llb.strings.txt
other	/A TestOD	Final_Cal_103FIN.EXE.strings.txt	87058	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	/A TestT	Final_Cal_103FIN.EXE.strings.txt	64994	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	/A TestV	Final_Cal_103FIN.EXE.strings.txt	62729	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	/A TestW	Final_Cal_103FIN.EXE.strings.txt	62817	9	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	1045 for 10.000V +/- 0.005.	Final_Cal_103FIN.EXE.strings.txt	66331	7	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Calibration	Final_Cal_103FIN.EXE.strings.txt	41649	28	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Calibration'	Final_Cal_103FIN.EXE.strings.txt	73118	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
other	Calibration22	Final_Cal_103FIN.EXE.strings.txt	62997	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Calibration`	Final_Cal_103FIN.EXE.strings.txt	72990	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	CalibrationH	Final_Cal_103FIN.EXE.strings.txt	72960	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	CalibrationV	Final_Cal_103FIN.EXE.strings.txt	62760	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	CalibrationW	Final_Cal_103FIN.EXE.strings.txt	62804	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	CalibrationX	Final_Cal_103FIN.EXE.strings.txt	72947	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	Correction	Final_Cal_103FIN.EXE.strings.txt	81474	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	of rings specified on the cal box.-Switch the cal box to	Final_Cal_103FIN.EXE.strings.txt	67543	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
other	ow connect the red lead to the	Final_Cal_103FIN.EXE.strings.txt	53817	38	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
other	Perform Inductance CalibrationV	Final_Cal_103FIN.EXE.strings.txt	90158	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Resistance	Final_Cal_103FIN.EXE.strings.txt	81732	22	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Resistance6	Source_LV5_1_103f_cal.llb.strings.txt	75635	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Resistance@	Final_Cal_103FIN.EXE.strings.txt	81733	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
other	ResistanceH	Source_LV6_103f_cal.llb.strings.txt	25925	1	Source_LV6_103f_cal.llb.strings.txt
other	ResistanceL	Final_Cal_103FIN.EXE.strings.txt	82765	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
other	ResistanceT	Source_LV5_1_103f_cal.llb.strings.txt	75769	1	Source_LV5_1_103f_cal.llb.strings.txt
other	Switch the cal box to	Final_Cal_103FIN.EXE.strings.txt	67445	5	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Switching Transformers.	Final_Cal_103FIN.EXE.strings.txt	67544	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Switching Transformers.O	Final_Cal_103FIN.EXE.strings.txt	67446	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
other	Warning: Choosing 'Calibration Reset'	Final_Cal_103FIN.EXE.strings.txt	62778	7	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Yolks and Flybacks.	Final_Cal_103FIN.EXE.strings.txt	67514	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
other	Yolks and Flybacks.H	Source_LV5_1_103f_cal.llb.strings.txt	36084	1	Source_LV5_1_103f_cal.llb.strings.txt
range_actions	Apply Changes	Final_Cal_103FIN.EXE.strings.txt	19804	1	Final_Cal_103FIN.EXE.strings.txt
range_actions	Apply MD	Final_Cal_103FIN.EXE.strings.txt	91989	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
range_actions	Lowest Cap Range is Cal'd FirstOD	Final_Cal_103FIN.EXE.strings.txt	92014	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
range_actions	Lowest Cap Range is Cal'd FirstQE	Source_LV5_1_103f_cal.llb.strings.txt	17633	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
stage_headers	Calibration Reset	Final_Cal_103FIN.EXE.strings.txt	41645	30	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
stage_headers	Calibration Reset]	Final_Cal_103FIN.EXE.strings.txt	62704	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
stage_headers	Calibration Resetf	Final_Cal_103FIN.EXE.strings.txt	62685	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
stage_headers	Calibration ResetT	Final_Cal_103FIN.EXE.strings.txt	56396	6	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
stage_headers	Calibration ResetW	Final_Cal_103FIN.EXE.strings.txt	56392	13	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
