count	action	text	source
41	continue	displays a dialog box with buttons allowing the user to either continue or stop. If the user cancels, the VI calls the Stop function to halt execution.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:101577
37	set	advisory dialog? Set TRUE (default) if you want a dialog if the file does not exist.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:100016
37	set	convert eol Set TRUE to convert each platform-specific end of line marker to the LabVIEW marker, line feed. Set FALSE (default value) to do nothing.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:101397
37	set	convert eol Set TRUE to convert the LabVIEW end of line marker to the platform-specific marker. Set FALSE (default value) to do nothing.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54502
36	set	Small Ringer Cal Box set to	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94446
36	short	local_50 = local_50 + (short)local_28;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:337827
36	short	puVar15 = (undefined1 *)(int)(short)local_c;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:90675
36	open	51refnum is the reference number of the open file.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54225
35	set	This version of Set Serial Port Buffer Size.vi is to be used on the SPARC or Windows version of LabVIEW as a subVI to OpenSerialDriver and Serial Port Init.vi.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:225934
33	connect	3) Connect Fluke 8840A to DVM plugs on front panel of test box.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:307025
33	connect	4) Connect Lo Capacity leads to UUT plugs on front of test box.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:307026
33	connect	5) Connect 50 pin ribbon cable from PC to right side of test box.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:307027
33	set	convert eol? converts the LabVIEW end of line marker to the platform specific marker when set to TRUE. When set to false (the default value), no conversion occurs.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54237
33	press	Press 'Enter' when ready.W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:90310
33	power	2) Attach power adapter and RS-232 cable to LC103	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:307023
33	continue	continue or stop message on an error	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102714
33	continue	type of dialog (continue or stop message)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:111869
33	turn	1) Plug in and turn on LC103 Mainboard test box.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:307022
30	load	DSP NoBrdRespToTransfer: The DSP board on which you are trying to load the COFF file is not responding to the transfer of the file. Check if there is a board in the slot desired and verify with the DAQCONF utility.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102405
29	connect	Connect the '+' DVM lead to TP1006	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:93443
29	connect	HEY!! I said: "Connect the red UUT to the H Terminal of the decade box and set the box to 0.022uF(.0219)". Please do this now!	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:99216
29	connect	Now connect the red UUT to the H Terminal of the decade box and set the box to 0.022uF(.0219).	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:99167
29	adjust	and the '-' lead to TP1020. Adjust	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:93444
29	set	Set the max. # of readings takenH	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:98185
29	press	and press 'Enter' when ready.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:97307
29	choose	calBPlease choose the file containing the inductance calibration data.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:114464
26	short	Lead Zero Short Test/ESR	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:79451
26	short	Short TP4 with the cathode	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346810
26	press	Press READY when previous step is complete.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346804
26	open	Open or Create File (function=%d)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54109
25	connect	GNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:83542
25	press	Press 'Enter' when ready.MD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:99170
25	continue	continue or stop message:	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:371581
24	short	ulonglong)(uint)(int)(short)local_14)] == (short)local_18) &&	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:63728
22	open	file is now open; proceed if function=0 (open)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54055
22	close	user denies permission to overwrite; close filea	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54039
21	set	Couldn't retrieve the proper Software Rev. number. Please set this manually on the front panel.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:113113
21	short	Lead Zero Short Test/Inductance	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:79525
21	power	Make sure tester POWER is ON	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346802
21	open	Couldn't open the Software Rev. file. Please set the Software Rev. manually on the front panel. Place the flopply disk in the computer NOW.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:113158
21	open	mirefnum is the reference number of the open file. The value is Not A Refnum if the file cannot be opened.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:99470
21	remove	Remove UUT from tester, Proceed to next UUT	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346812
20	short	ulonglong)(uint)(int)(short)local_20)] == (short)local_10) &&	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:118863
18	set	1 = Set END bit on the last byte of transfer	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:55873
18	short	local_18 = (short *)local_44;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:273401
18	short	local_c = local_c + (short)iVar5;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:286841
18	short	while ((short)local_1c < (short)local_2c);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:339629
18	short	while ((short)uVar9 != 0);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:336509
17	connect	CAPGNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:83633
17	connect	IND-6FMELDKCJBI@GAHBNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:291349
17	switch	Switch in D/A StandardV	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:111518
17	set	Output alt HW Handshake. On the PC, this parameter corresponds to Data Set Ready (DSR) handshaking. On the SPARCstation, this parameter is ignored.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:74849
17	set	cFile Dialog cancelled; set Error to Cancelled By User; empty File Path; set Refnum to Not a Refnum.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:100053
17	press	Press 'Enter' when finished.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:93446
17	press	Press F1 to change paths.Y	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:118797
17	select	Measure volts, amps, or ohms. Select one of 6 functions. Select range or use auto range. Select trigger mode. Slow reading rate is used for accuracy. version a.0 $	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:63097
17	select	Select measurement function. :	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:62739
17	open	RCouldn't open the Software Rev. file. Place the flopply disk in the computer NOW.s	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:113119
17	open	report file not found if function=0 (open); set file path to empty and refnum to NotARefnumMD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54033
17	continue	continue or stop message	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:101580
17	continue	continue or stop message on an errorRD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102979
17	continue	type of dialog (continue or stop message)QD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:112380
16	short	Lead Zero Short Test/Inductanced	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:79450
16	short	MMMLead zero, shorted CAP must read "SHORT", IND and ESR must read 0l	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:320789
16	short	while ((short)iVar3 < 4);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:56775
16	short	while ((short)local_8 == 0);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:89839
16	open	112create a new file if function=1-3 (open or create)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:406316
16	open	1refnum is the reference number of the open file.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:504909
16	open	778file is now open; proceed if function=1 (open or create){D	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:406304
16	open	Couldn't open the Software Rev. file. Please set the Software Rev. manually on the front panel. Place the flopply disk in the computer NOW.MD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:113114
16	open	Open or Create File (function=%d)a	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54058
16	open	aaaLeads zero, open Cap must read 0, IND must read "OPEN" and ESR must read "ERROR 7"W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:320787
16	open	irefnum is the reference number of the open file. The value is Not A Refnum if the file cannot be opened.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:506085
16	wait	Bad occurrence"Wait on unbound occurrence handler	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:51145
14	set	Set Pass/Fail button to invisibleW	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323383
14	choose	BPlease choose the file containing the inductance calibration data.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54711
14	choose	BPlease choose the file containing the inductance calibration data.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:114316
14	wait	Wait for start button to be clickedb	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323339
13	adjust	RIN>Adjust R1144 for the number	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94474
13	adjust	RINBNow adjust R1005 for the number	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94477
13	set	NNherror is other than file not found; set error flag TRUE, file path to NotAPath, and refnum to NotARefnummD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:406317
13	set	Set "Pass or Fail Global" to "Fail"W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323355
13	set	Set UUT to test Aluminum LyticsW	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:318372
13	set	YUadvisory dialog? Set TRUE (default) if you want a dialog if the file does not exist.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:99477
13	set	rrsFile Dialog cancelled; set error out code to Cancelled By User; set refnum to NotaRefnum and file path to NotAPath.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:406323
13	press	6) Press ENTER when ready, choose test to perform and press START.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323683
13	press	6) Press ENTER when ready, choose test to perform and press START.H	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323376
13	press	Press 'Enter' when ready.T	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:90300
13	press	Press 'Enter' when ready.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:90283
13	press	Press 'Enter' when ready._	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:90252
13	press	Press 'Enter' when ready.g	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:90296
13	choose	BPlease choose the file containing the inductance calibration data.W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:118862
13	choose	CCCPlease choose the file containing the capacitance calibration data.W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:118857
13	choose	Choose file to read.RD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:112376
13	power	Power Up Unit w/ PA vlt.]	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346309
13	apply	Apply voltage to leadsW	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:317716
12	switch	WARNING: Could not find normalized switch variable to match jumptable */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:280046
12	short	local_18 = (short *)CONCAT22(local_18._2_2_,(short)uVar4);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:273344
12	short	local_18 = (short)local_1c * 4;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:339773
12	short	sVar2 = *(short *)(local_c + 6);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:319214
12	short	sVar3 = *(short *)(uVar15 + (short)local_14 * 2);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:339707
12	short	short)local_14 * 2) + (short)local_1c);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:339762
12	short	short,char *,long,double,unsigned short,char *,short,unsigned long *,unsigned short *,double	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:14282
12	short	unsigned long *,short *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:240025
12	short	while ((int)local_2c < (int)(short)puVar26[2]);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:352923
12	short	while ((short)iVar4 < (short)local_c);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:348649
12	short	while ((short)local_c < sVar11);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:90551
12	short	while ((short)uVar15 < (short)(ushort)local_24);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:339697
12	short	while ((short)uVar2 != 0);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:77916
12	short	while ((short)uVar5 < (short)puVar14[2]);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:339504
12	short	while (iVar11 < (short)(ushort)local_c[1]);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:353734
12	short	while (sVar6 < (short)local_10);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:337843
12	press	Press 'Enter' when ready.`	/Users/<user>/LC103/software_decompile_2026-02-24/labview_extract/LC103_FINAL_CAL_PROMPT_REBUILD.md:40
12	wait	Wait a few mils for updated Abort?n	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:73668
12	wait	Wait here for some type of actionv	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:118913
11	switch	of rings specified on the cal box.-Switch the cal box to	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94475
11	short	Inductance Decade Box (L Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:389867
11	short	Lead Zero Short & Open VIY	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:447593
11	short	Lead Zero Short Test/ESRKSomething seems to be wrong. Make sure the UUT leads are shorted together.?	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:393270
11	press	Press 'Enter' when ready.cShort the UUT leads to the Capacitance Decade box(LTerminal).	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:375113
11	open	051refnum is the reference number of the open file.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:100597
11	open	2create a new file if function=1-3 (open or create)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54049
11	open	8file is now open; proceed if function=1 (open or create){D	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54038
11	open	Last known LC103 Software Rev. is: VERRCouldn't open the Software Rev. file. Place the flopply disk in the computer NOW.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:113157
11	open	Open the control editor with double click	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:50014
11	open	report file not found if function=0 (open); set file path to empty and refnum to NotARefnumHDt	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:528292
11	open	xxxxRCouldn't open the Software Rev. file. Place the flopply disk in the computer NOW.'Last known LC103 Software Rev. is: VER	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:365905
10	adjust	AABNow adjust R1005 for the number	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94383
10	adjust	Adjust R1144 for the number	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94377
10	set	Set Pass/ Fail Indicator and make it visible V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323379
10	set	Set Pass/Fail Button to invisibled	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323348
10	set	This version of Set Serial Port Buffer Size.vi is to be used on the SPARC or Windows version of LabVIEW as a subVI to OpenSerialDriver and Serial Port Init.vi.$	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:55495
10	open	open or create file `0	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102925
9	connect	77GNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:388801
9	connect	Capacitance Decade Box (Low Terminal).GNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:388680
9	connect	FMELDKCJBI@GAHBNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82678
9	connect	IND-6BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82671
9	connect	Inductance Decade Box (H Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:389871
9	switch	NFC-Switch the cal box to	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:380042
9	set	Set High LS to 1000VQD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346660
9	set	Set High LS to 33.0VPD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346587
9	set	This version of Set Serial Port Buffer Size.vi is to be used on the SPARC or Windows version of LabVIEW as a subVI to OpenSerialDriver and Serial Port Init.vi	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/vi_names_all.txt:90
9	set	VER`Couldn't retrieve the proper Software Rev. number. Please set this manually on the front panel.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:365903
9	set	herror is other than file not found; set error flag TRUE, file path to NotAPath, and refnum to NotARefnummD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54050
9	set	more? (set edx to 1 and continue...)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:46170
9	set	sFile Dialog cancelled; set error out code to Cancelled By User; set refnum to NotaRefnum and file path to NotAPath.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54056
9	press	Press 'Enter' when finished.d	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:93503
9	press	Press 'Enter' when ready.PD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:97293
