score	source_path	line	text
3.852	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	77469	Read Lines From File.viosee
3.850	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	496	Open GPIB Driver.viv
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17690	Serial Port Reset.vi
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17784	Serial Port Write.vi
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	40628	Serial Port Write.vi 
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	41368	Serial Port Read.vic
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	41794	Serial Port Read.via
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_MAINB_II.LLB.strings.txt	16755	Serial Port Read.vie
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV6_103f_cal.llb.strings.txt	44329	Serial Port Read.vir
3.850	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV6_Mainb_ii.llb.strings.txt	26142	Serial Port Read.viV
3.846	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	181	AThis button closes the Preferences dialog and saves any changes.
3.846	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	342	Opening old resource file.
3.846	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	641	D@Initializes the selected serial port to the specified settings.
3.846	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	13295	AThis button closes the Preferences dialog and saves any changes. 
3.846	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17148	Cannot load block diagram.
3.846	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	39795	Open Serial Driver.vier.vi
3.846	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	69302	Read from Digital Port.viH
3.846	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV5_1_Pwrtest.llb.strings.txt	18778	Read from Digital Port.viX
3.844	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	29	FinishConnect: what indication??
3.843	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_103f_cal.llb.strings.txt	39010	Please read the DAQ VI Reference Manual for descriptions of Digital Port Configure and Digital Port Write for more information.
3.842	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	299	Cannot open device.
3.842	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17702	Open GPIB Driver.vi
3.842	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17786	Serial Port Read.vi
3.842	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	23013	Core GPIB Write.viR
3.842	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	982	Most applications need only connect wires to the controls and indicators displayed in bold.  Connections to other controls and indicators are useful only if specifically needed.
3.841	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_103f_cal.llb.strings.txt	39440	Please read the DAQ VI Reference Manual for descriptions of Digital Port Configure and Digital Port Read for more information.
3.841	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	35	NCAcceptConn: SetAsyncSocket failed: err=%ld
3.841	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV6_103f_cal.llb.strings.txt	51217	Xmark after write is the location of the character following the last character written.
3.840	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	277	Disconnect from Type Def.
3.840	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1211	Power Board test Version.
3.840	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1534	Open Serial Driver.viPTH0
3.840	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17852	Read from Digital Port.vi
3.840	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	79373	Read Lines From File.viMD
3.840	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_MAINB_II.LLB.strings.txt	24079	Read from Digital Port.vi 
3.840	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV6_103f_cal.llb.strings.txt	18494	Read Lines From File.viHD
3.839	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	204	VThis button brings up the font selection dialog to alter the currently displayed font.
3.839	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	797	Please check the setting again.
3.839	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_lv8_103f_cal.llb.strings.txt	29201	Write Characters To File.viPTH0
3.838	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	203	CThis button sets the currently displayed font to its default value.
3.838	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	812	CLRPARcShort the UUT leads to the Capacitance Decade box(LTerminal).
3.838	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1327	DDERow 0: Default Calibration Factors
3.837	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1198	Press READY when previous step is complete.
3.837	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_PWRTEST.LLB.strings.txt	138	   Press READY when previous step is complete.
3.836	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	68520	Please read the DAQ VI Reference Manual for descriptions of Digital Port Configure and Digital Port Write for more information.$
3.836	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	33704	Establishes a communication session with a remote instrument based on the instrument descriptor.  Instr Open creates an instr handle that is used by all other VISA Transition Library VIs to perform operations on that session.
3.835	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	68942	Please read the DAQ VI Reference Manual for descriptions of Digital Port Configure and Digital Port Read for more information.$
3.833	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	84	PSClose: NewFrame escape call error!
3.833	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	337	Could not open temporary file.
3.833	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	338	Connector pane type map.
3.833	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1076	Bool: Horiz Switch
3.833	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1077	Bool: Horiz Slide Switch
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17149	Cannot load front panel.
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17471	Could not open temporary file. 
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17708	Core GPIB Write.vi
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	22191	Core GPIB Read.viS
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	35085	DIO Port Write.vim
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	35131	DIO Port Write.viDIGPRTWR.LSB
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	78207	Read Lines From File.viH
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	80968	Read Lines From File.viV
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_MAINB_II.LLB.strings.txt	2138	Core GPIB Read.vin
3.833	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV5_1_Pwrtest.llb.strings.txt	17896	DIO Port Write.vii
3.831	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17344	Unknown ObjectgThe VI, last saved with the LabVIEW full development system, has been converted to the Student Edition.
3.830	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_PWRTEST.LLB.strings.txt	10818	Instr Initialize Interface.vipter.vifsets.vi<;$
3.829	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	32	NewNetObject: SetNonBlock failed: err=%ld
3.829	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	34	NCAcceptConn: SetNonBlock failed: err=%ld
3.829	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	739	ERow 0: Default Calibration Factors
3.828	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	301	Network is down or unreachable.$Network address is currently in use.;Not enough system memory to complete the network operation.3System caused the network connection to be aborted.
3.828	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	35541	DIO Port Read.viDIGPRTRD.LSB
3.828	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_lv8_103f_cal.llb.strings.txt	27556	Read from Digital Port.viPTH0
3.827	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	291	Too many files open.<Some system capacity necessary for operation is not enabled.
3.827	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	576	VFor most applications, you only need to connect wires to the controls and indicators displayed in bold.
3.827	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	582	ZFor most applications, you only need to connect wires to the controls and indicators displayed in bold.
3.826	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/LC103_COMMAND_RESPONSE_TABLE_CANDIDATES.tsv	66	SWITCHING TRANSFORMERS 4451f4 workflow_prompt Switching Transformers.
3.826	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	22	LoadExternalFunction: LoadLibrary: error = %ld
3.826	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	348	Could not load block diagram.'Block diagram load detected link error.
3.826	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1078	Bool: Vert Slide Switch
3.826	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1278	Choose file to write.RD
3.826	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17870	Read Lines From File.vi
3.826	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_lv8_103f_cal.llb.strings.txt	19494	Serial Port Read.viPTH0
3.825	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	588	For most applications, you only need to connect wires to the controls and indicators displayed in bold.
3.825	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	282	Do you want to continue?aRemoving this Case Structure will delete all objects in the other cases.
3.824	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV5_1_103f_cal.llb.strings.txt	25577	Close File+.vi:Close Filed:\automated\lv51\lvsource\gencode.cGenRangeCheck
3.824	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1097	See the Data Acquisition VI Reference Manual for your platform for tables listing the default settings and ranges for this VI for the boards with which it will work.
3.824	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	345	Error saving ID resource. Error saving demo time resource. Could not save runonly resource.
3.824	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	440	Current file mark plus pos offset.
3.822	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	67510	DAQ overWriteErr:  The driver wrote new data into the input transfer buffer before the data acquisition VI could retrieve the old data.
3.822	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	731	Capacitance Decade Box (High Terminal).HConnect the black UUT lead to the
3.822	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17343	H%p cannot be loaded because it contains the following invalid objects:\n
3.821	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	92	Click in window to continue.
3.821	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	347	Could not load front panel.%Front panel load detected link error..Could not load block diagram link information.
3.821	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	26419	Instr Read.vi Message.vie.vi
3.821	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	327	Remember this application may require some of the libraries in the Shared Libraries folder in order to run.%The VI Library you selected is empty.
3.821	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	36	NCConnectLow: connect returned err =%ld
3.820	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	928	DAQ overFlowErr:  Because of system limitations, the driver could not read data from the device fast enough to keep up with the device throughput; the onboard device memory reported an overflow error.
3.819	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	577	See the Data Acquisition VI Reference Manual for your platform for tables listing the default settings and ranges for this VI for the boards with which it will work.$
3.819	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	67512	DAQ underWriteErr:  The data acquisition VI did not write new data to the output transfer buffer before the driver attempted to transfer the data to the device for output.
3.819	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17510	Could not load default data.+Could not load data space link information.%Could not load VI's link information.&Could not load LVSB platform resource.6Demonstration versions of LabVIEW cannot load this VI.
3.818	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	339	Opening old data fork.
3.818	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	635	Open Serial Driver.vi5
3.818	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1030	Choose file to read.RD
3.818	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	35013	DIO Port Write.vie.vip
3.817	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	363	A Case structure with an enumerated value wired to its selector terminal must have one subdiagram per item in the enumeration. Pop up on the Case structure border and select Add Case or Remove Case as needed.
3.816	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	671	IND-Make sure the UUT leads are shorted together.
3.816	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	848	QCloses the file on command or when in incoming error occurs and returns the file size at closure.
3.816	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	21	IGetFile: decompress failed w/error=%d
3.816	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	438	Beginning of the file plus pos offset.
3.816	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	756	Warning:  Choosing 'Calibration Reset'
3.816	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	55446	Warning:  Choosing 'Calibration Reset'   
3.815	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	219	When the selected error or warning is associated with an object, clicking on this button will highlight that object on the VI's front panel or block diagram.
3.815	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	67513	DAQ underFlowErr:  Because of system limitations, the driver could not write data to the device fast enough to keep up with the device throughput.
3.815	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	359	If a Boolean control has associated local variables, it may not use Latch mechanical action.  The first local variable to read a Boolean control with Latch action would reset its value to the default.
3.815	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	40590	UQWrites the data in string to write to the serial port indicated in port number. 
3.815	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	65147	Open File+.vi:File DialogiD
3.815	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_lv8_103f_cal.llb.strings.txt	29204	Read Lines From File.viPTH0
3.814	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/LC103_COMMAND_RESPONSE_TABLE_CANDIDATES.tsv	58	SWITCHING TRANSFORMERS 444949 workflow_prompt Switching Transformers.O
3.814	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	190	This button sets the currently displayed path to its default value.  You can not change the currently displayed path if this box is checked.
3.814	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	360	This wire segment is not connected to anything. Select Remove Bad Wires from the Edit menu to delete all wires that are disconnected or bad.
3.814	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1328	Capacitance Decade Box (Low Terminal).GNow connect the red lead to the
3.814	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1	DAQDRV: return value from LoadLibrary is %d
3.814	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	362	One or more required inputs to this function are not wired or are wired incorrectly. Show the Help window to see what the connections to this function should be.
3.813	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	308	Select Swap to exchange minimum and maximum, or Cancel to enter new values.
3.812	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	668	BBKSomething seems to be wrong.  Make sure the UUT leads are shorted together.QD
3.812	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_103f_cal.llb.strings.txt	22875	QWrites the data in string to write to the serial port indicated in port number. 
3.812	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17518	VI libraryO  Please quit LabVIEW before saving anything else or you may overwrite this %p.*Cannot save remaining VIs and/or controls.
3.812	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	326	This copy of LabVIEW has not been properly registered.  You must enter a name and a valid serial number.  The registration dialog will continue to appear at launch time until you properly register this copy of LabVIEW.
3.812	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	202	TThe text in this box shows a sample of the selected font using current font setting.
3.812	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	13289	This is the revision number that will be included in new history entries.  The current number is displayed in the Instrument Information dialog.  It is incremented every time you save the VI.
3.811	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	33	NewNetObject: SetAsync failed: err=%d
3.811	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	583	This VI reads the port identified by task ID and returns the pattern read.
