from,to,type
1000:04ec,1000:0551,"CONDITIONAL_JUMP"
1000:04f2,1000:050a,"CONDITIONAL_JUMP"
1000:0511,1030:0844,"UNCONDITIONAL_CALL"
1000:051d,1000:052d,"CONDITIONAL_JUMP"
1000:0524,1000:081e,"UNCONDITIONAL_CALL"
1000:052a,1000:074d,"UNCONDITIONAL_JUMP"
1000:052e,1030:0850,"UNCONDITIONAL_CALL"
1000:053e,1000:059c,"CONDITIONAL_JUMP"
1000:0544,1000:054c,"CONDITIONAL_JUMP"
1000:054a,1000:0553,"CONDITIONAL_JUMP"
1000:054f,1000:0555,"UNCONDITIONAL_JUMP"
1000:0551,1000:05ac,"UNCONDITIONAL_JUMP"
1000:0559,1000:0572,"CONDITIONAL_JUMP"
1000:0575,1000:0585,"CONDITIONAL_JUMP"
1000:057c,1000:081e,"UNCONDITIONAL_CALL"
1000:0582,1000:074d,"UNCONDITIONAL_JUMP"
1000:0590,1000:0756,"UNCONDITIONAL_CALL"
1000:059a,1000:0539,"UNCONDITIONAL_JUMP"
1000:059f,1030:0854,"UNCONDITIONAL_CALL"
1000:05a7,1030:084c,"UNCONDITIONAL_CALL"
1000:05b0,1000:05bb,"CONDITIONAL_JUMP"
1000:05d3,1000:a3a0,"UNCONDITIONAL_CALL"
1000:05d8,1000:05f1,"CONDITIONAL_JUMP"
1000:05df,1000:0012,"UNCONDITIONAL_CALL"
1000:05e8,1000:081e,"UNCONDITIONAL_CALL"
1000:05ee,1000:074d,"UNCONDITIONAL_JUMP"
1000:06cf,1000:06fe,"CONDITIONAL_JUMP"
1000:06fc,1000:06d1,"CONDITIONAL_JUMP"
1000:0701,1000:a53c,"UNCONDITIONAL_CALL"
1000:0708,1000:0712,"CONDITIONAL_JUMP"
1000:0710,1000:0718,"UNCONDITIONAL_JUMP"
1000:0720,1000:0744,"CONDITIONAL_JUMP"
1000:072d,1000:074a,"CONDITIONAL_JUMP"
1000:0742,1000:074a,"UNCONDITIONAL_JUMP"
1000:076c,1000:07cd,"CONDITIONAL_JUMP"
1000:0788,1000:07ab,"CONDITIONAL_JUMP"
1000:07a9,1000:07bf,"UNCONDITIONAL_JUMP"
1000:07cb,1000:076e,"CONDITIONAL_JUMP"
1000:07d5,1000:a8ea,"UNCONDITIONAL_CALL"
1000:07d8,1000:a9d6,"UNCONDITIONAL_CALL"
1000:07db,1008:3ff2,"UNCONDITIONAL_CALL"
1000:07e0,1008:4c5e,"UNCONDITIONAL_CALL"
1000:07ea,1000:07fe,"CONDITIONAL_JUMP"
1000:07fb,1000:a75e,"UNCONDITIONAL_CALL"
1000:0803,1000:081a,"CONDITIONAL_JUMP"
1000:080a,1000:081a,"CONDITIONAL_JUMP"
1000:0830,1000:0875,"CONDITIONAL_JUMP"
1000:0842,1000:0859,"CONDITIONAL_JUMP"
1000:084d,1000:e833,"UNCONDITIONAL_CALL"
1000:0857,1000:0844,"CONDITIONAL_JUMP"
1000:085d,1000:0872,"CONDITIONAL_JUMP"
1000:086d,1030:0308,"UNCONDITIONAL_CALL"
1000:0872,1000:07d2,"UNCONDITIONAL_CALL"
1000:08d5,1000:08de,"CONDITIONAL_JUMP"
1000:0918,1000:0068,"UNCONDITIONAL_CALL"
1000:091d,1000:092a,"CONDITIONAL_JUMP"
1000:091f,1000:0880,"UNCONDITIONAL_CALL"
1000:0924,1000:081e,"UNCONDITIONAL_CALL"
1000:a371,1000:a37c,"CONDITIONAL_JUMP"
1000:a37a,1000:a373,"CONDITIONAL_JUMP"
1000:a38e,1000:a398,"CONDITIONAL_JUMP"
1000:a396,1000:a390,"CONDITIONAL_JUMP"
1000:a3b2,1000:a3c0,"CONDITIONAL_JUMP"
1000:a3bd,1000:a538,"UNCONDITIONAL_JUMP"
1000:a3c3,1000:a3d4,"CONDITIONAL_JUMP"
1000:a3ca,1000:a3d4,"CONDITIONAL_JUMP"
1000:a3d1,1000:a46d,"UNCONDITIONAL_JUMP"
1000:a3d4,1000:a475,"UNCONDITIONAL_JUMP"
1000:a3db,1000:a3e0,"CONDITIONAL_JUMP"
1000:a3dd,1000:a469,"UNCONDITIONAL_JUMP"
1000:a404,1000:a40d,"CONDITIONAL_JUMP"
1000:a413,1000:a426,"CONDITIONAL_JUMP"
1000:a42c,1000:a436,"CONDITIONAL_JUMP"
1000:a434,1000:a44f,"CONDITIONAL_JUMP"
1000:a466,1000:a538,"UNCONDITIONAL_JUMP"
1000:a470,1000:a475,"CONDITIONAL_JUMP"
1000:a472,1000:a3d7,"UNCONDITIONAL_JUMP"
1000:a479,1000:a480,"CONDITIONAL_JUMP"
1000:a49d,1000:a4a5,"CONDITIONAL_JUMP"
1000:a4a2,1000:a538,"UNCONDITIONAL_JUMP"
1000:a4c8,1000:a536,"CONDITIONAL_JUMP"
1000:a4cd,1000:a4d7,"CONDITIONAL_JUMP"
1000:a4cf,1000:a4e3,"CONDITIONAL_JUMP"
1000:a4d5,1000:a4e3,"CONDITIONAL_JUMP"
1000:a4e1,1000:a4ed,"UNCONDITIONAL_JUMP"
1000:a518,1000:a364,"UNCONDITIONAL_CALL"
1000:a534,1000:a4ca,"CONDITIONAL_JUMP"
1000:a542,1000:a56e,"CONDITIONAL_JUMP"
1000:a548,1000:a564,"CONDITIONAL_JUMP"
1000:a54e,1000:a564,"CONDITIONAL_JUMP"
1000:a562,1000:a56e,"UNCONDITIONAL_JUMP"
1000:a566,1000:a382,"UNCONDITIONAL_CALL"
1000:a599,1000:a5bf,"CONDITIONAL_JUMP"
1000:a5a8,1000:a5bf,"CONDITIONAL_JUMP"
1000:a5af,1000:a382,"UNCONDITIONAL_CALL"
1000:a5bd,1000:a5aa,"CONDITIONAL_JUMP"
1000:a619,1000:a594,"UNCONDITIONAL_CALL"
1000:a649,1000:a653,"CONDITIONAL_JUMP"
1000:a64b,1000:a671,"CONDITIONAL_JUMP"
1000:a651,1000:a671,"CONDITIONAL_JUMP"
1000:a657,1000:a665,"CONDITIONAL_JUMP"
1000:a663,1000:a68d,"UNCONDITIONAL_JUMP"
1000:a66f,1000:a68d,"UNCONDITIONAL_JUMP"
1000:a675,1000:a683,"CONDITIONAL_JUMP"
1000:a681,1000:a68d,"UNCONDITIONAL_JUMP"
1000:a6ca,1000:a6d2,"CONDITIONAL_JUMP"
1000:a6cf,1000:a756,"UNCONDITIONAL_JUMP"
1000:a6ee,1000:a704,"CONDITIONAL_JUMP"
1000:a702,1000:a756,"UNCONDITIONAL_JUMP"
1000:a717,1000:a620,"UNCONDITIONAL_CALL"
1000:a728,1000:a73e,"CONDITIONAL_JUMP"
1000:a73c,1000:a756,"UNCONDITIONAL_JUMP"
1000:a751,1000:a620,"UNCONDITIONAL_CALL"
1000:a85f,1000:b7fc,"UNCONDITIONAL_CALL"
1000:a893,1000:a8e4,"CONDITIONAL_JUMP"
1000:a8d8,1000:a89a,"CONDITIONAL_JUMP"
1000:a8f3,1000:a8fe,"CONDITIONAL_JUMP"
1000:a905,1000:a8ee,"CONDITIONAL_JUMP"
1000:a9b4,1030:0844,"UNCONDITIONAL_CALL"
1000:a9c0,1000:a9d2,"CONDITIONAL_JUMP"
1000:a9c3,1030:0850,"UNCONDITIONAL_CALL"
1000:a9dd,1030:0854,"UNCONDITIONAL_CALL"
1000:a9e6,1030:084c,"UNCONDITIONAL_CALL"
1000:ab91,1000:b146,"UNCONDITIONAL_CALL"
1000:abaa,1000:b270,"UNCONDITIONAL_CALL"
1000:adff,1000:eaca,"UNCONDITIONAL_CALL"
1000:ae2d,1000:ea3a,"UNCONDITIONAL_CALL"
1000:ae37,1000:e9f8,"UNCONDITIONAL_CALL"
1000:aeac,1000:eafa,"UNCONDITIONAL_CALL"
1000:aed9,1000:e9f8,"UNCONDITIONAL_CALL"
1000:aedf,1000:eb2c,"UNCONDITIONAL_CALL"
1000:aef8,1000:ea8c,"UNCONDITIONAL_CALL"
1000:af98,1000:eb1b,"UNCONDITIONAL_CALL"
1000:b0e3,1000:ec2a,"UNCONDITIONAL_CALL"
1000:b1b8,1000:efaa,"UNCONDITIONAL_CALL"
1000:b21b,1000:b0d8,"UNCONDITIONAL_CALL"
1000:b27d,1000:f00b,"UNCONDITIONAL_CALL"
1000:b28d,1000:b1c8,"UNCONDITIONAL_CALL"
1000:b2a9,1000:b2af,"CONDITIONAL_JUMP"
1000:b2ad,1000:b2e8,"CONDITIONAL_JUMP"
1000:b2b7,1000:b2bb,"CONDITIONAL_JUMP"
1000:b2b9,1000:b2c2,"CONDITIONAL_JUMP"
1000:b2c0,1000:b2e8,"UNCONDITIONAL_JUMP"
1000:b2c6,1000:b2e8,"CONDITIONAL_JUMP"
1000:b2c8,1000:b2d0,"CONDITIONAL_JUMP"
1000:b2ce,1000:b2e8,"CONDITIONAL_JUMP"
1000:b2da,1000:a3a0,"UNCONDITIONAL_CALL"
1000:b2f5,1000:b2fb,"CONDITIONAL_JUMP"
1000:b2f9,1000:b2fe,"CONDITIONAL_JUMP"
1000:b2fb,1000:a53c,"UNCONDITIONAL_CALL"
1000:c23d,1000:b296,"UNCONDITIONAL_CALL"
1000:c243,1000:b296,"UNCONDITIONAL_CALL"
1000:c249,1000:b296,"UNCONDITIONAL_CALL"
1000:c24f,1000:b296,"UNCONDITIONAL_CALL"
1000:c255,1000:b296,"UNCONDITIONAL_CALL"
1000:c25b,1000:b296,"UNCONDITIONAL_CALL"
1000:c261,1000:b296,"UNCONDITIONAL_CALL"
1000:c267,1000:b296,"UNCONDITIONAL_CALL"
1000:c2f0,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c2fe,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c30d,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c31c,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c32b,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c33a,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c349,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c358,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c3de,1000:c404,"CONDITIONAL_JUMP"
1000:c3e2,1000:c404,"CONDITIONAL_JUMP"
1000:c3ec,1008:48da,"UNCONDITIONAL_CALL"
1000:c3fa,1000:c404,"CONDITIONAL_JUMP"
1000:c3fe,1000:c404,"CONDITIONAL_JUMP"
1000:c402,1000:c414,"UNCONDITIONAL_JUMP"
1000:c411,1000:c160,"UNCONDITIONAL_CALL"
1000:c424,1000:c44a,"CONDITIONAL_JUMP"
1000:c428,1000:c44a,"CONDITIONAL_JUMP"
1000:c432,1008:48da,"UNCONDITIONAL_CALL"
1000:c440,1000:c44a,"CONDITIONAL_JUMP"
1000:c444,1000:c44a,"CONDITIONAL_JUMP"
1000:c448,1000:c414,"UNCONDITIONAL_JUMP"
1000:c451,1000:c40b,"UNCONDITIONAL_JUMP"
1000:c59d,1000:f03c,"UNCONDITIONAL_CALL"
1000:c5a8,1000:f03c,"UNCONDITIONAL_CALL"
1000:c5c7,1000:b296,"UNCONDITIONAL_CALL"
1000:c5dc,1000:e9f8,"UNCONDITIONAL_CALL"
1000:c5ee,1000:b2ee,"UNCONDITIONAL_CALL"
1000:c8d2,1000:c8f8,"CONDITIONAL_JUMP"
1000:c8d6,1000:c8f8,"CONDITIONAL_JUMP"
1000:c8e0,1008:498e,"UNCONDITIONAL_CALL"
1000:c8ee,1000:c8f8,"CONDITIONAL_JUMP"
1000:c8f2,1000:c8f8,"CONDITIONAL_JUMP"
1000:c8f6,1000:c929,"UNCONDITIONAL_JUMP"
1000:c8fb,1000:c58f,"UNCONDITIONAL_CALL"
1000:c939,1000:c95f,"CONDITIONAL_JUMP"
1000:c93d,1000:c95f,"CONDITIONAL_JUMP"
1000:c947,1008:498e,"UNCONDITIONAL_CALL"
1000:c955,1000:c95f,"CONDITIONAL_JUMP"
1000:c959,1000:c95f,"CONDITIONAL_JUMP"
1000:c95d,1000:c99c,"UNCONDITIONAL_JUMP"
1000:c962,1000:c58f,"UNCONDITIONAL_CALL"
1000:c9ac,1000:c9d3,"CONDITIONAL_JUMP"
1000:c9b0,1000:c9d3,"CONDITIONAL_JUMP"
1000:c9ba,1008:498e,"UNCONDITIONAL_CALL"
1000:c9c8,1000:c9d3,"CONDITIONAL_JUMP"
1000:c9cc,1000:c9d3,"CONDITIONAL_JUMP"
1000:c9d0,1000:c8c2,"UNCONDITIONAL_CALL"
1000:c9d6,1000:c58f,"UNCONDITIONAL_CALL"
1000:ca0a,1000:c8c2,"UNCONDITIONAL_CALL"
1000:ca89,1000:cab0,"CONDITIONAL_JUMP"
1000:ca8d,1000:cab0,"CONDITIONAL_JUMP"
1000:ca97,1008:498e,"UNCONDITIONAL_CALL"
1000:caa5,1000:cab0,"CONDITIONAL_JUMP"
1000:caa9,1000:cab0,"CONDITIONAL_JUMP"
1000:caad,1000:c929,"UNCONDITIONAL_JUMP"
1000:cab3,1000:c58f,"UNCONDITIONAL_CALL"
1000:cae1,1000:c929,"UNCONDITIONAL_JUMP"
1000:df59,1000:df7f,"CONDITIONAL_JUMP"
1000:df5d,1000:df7f,"CONDITIONAL_JUMP"
1000:df67,1008:4baa,"UNCONDITIONAL_CALL"
1000:df75,1000:df7f,"CONDITIONAL_JUMP"
1000:df79,1000:df7f,"CONDITIONAL_JUMP"
1000:df7d,1000:df49,"UNCONDITIONAL_CALL"
1000:df8f,1000:df49,"UNCONDITIONAL_CALL"
1000:e1ec,1000:e212,"CONDITIONAL_JUMP"
1000:e1f0,1000:e212,"CONDITIONAL_JUMP"
1000:e1fa,1008:4baa,"UNCONDITIONAL_CALL"
1000:e208,1000:e212,"CONDITIONAL_JUMP"
1000:e20c,1000:e212,"CONDITIONAL_JUMP"
1000:e210,1000:e22e,"UNCONDITIONAL_JUMP"
1000:e23e,1000:e265,"CONDITIONAL_JUMP"
1000:e242,1000:e265,"CONDITIONAL_JUMP"
1000:e24c,1008:4baa,"UNCONDITIONAL_CALL"
1000:e25a,1000:e265,"CONDITIONAL_JUMP"
1000:e25e,1000:e265,"CONDITIONAL_JUMP"
1000:e262,1000:df49,"UNCONDITIONAL_CALL"
1000:e275,1000:df49,"UNCONDITIONAL_CALL"
1000:e689,1000:e6a7,"CONDITIONAL_JUMP"
1000:e68c,1000:e6a6,"CONDITIONAL_JUMP"
1000:e68f,1000:e6c1,"CONDITIONAL_JUMP"
1000:e693,1000:e69e,"CONDITIONAL_JUMP"
1000:e6a9,1000:e6c5,"CONDITIONAL_JUMP"
1000:e6ab,1000:e6bd,"CONDITIONAL_JUMP"
1000:e6af,1000:e6bd,"CONDITIONAL_JUMP"
1000:e6d2,1000:e6e7,"CONDITIONAL_JUMP"
1000:e6d7,1000:e6ce,"CONDITIONAL_JUMP"
1000:e6d9,1000:e6df,"CONDITIONAL_JUMP"
1000:e6dd,1000:e6ce,"CONDITIONAL_JUMP"
1000:e6e5,1000:e709,"CONDITIONAL_JUMP"
1000:e6f0,1000:e6e0,"CONDITIONAL_JUMP"
1000:e6f7,1000:e705,"CONDITIONAL_JUMP"
1000:e701,1000:e6f2,"CONDITIONAL_JUMP"
1000:e703,1000:e6e0,"UNCONDITIONAL_JUMP"
1000:e716,1000:e7a2,"UNCONDITIONAL_JUMP"
1000:e7a2,1030:0918,"UNCONDITIONAL_CALL"
1000:e7a9,1000:e826,"CONDITIONAL_JUMP"
1000:e7bf,1030:0874,"UNCONDITIONAL_CALL"
1000:e7c6,1030:030c,"UNCONDITIONAL_CALL"
1000:e7e2,1000:e7e9,"CONDITIONAL_JUMP"
1000:e809,1030:0890,"UNCONDITIONAL_CALL"
1000:e819,1000:f1f5,"UNCONDITIONAL_CALL"
1000:e81e,1000:0906,"UNCONDITIONAL_CALL"
1000:e821,1000:f100,"UNCONDITIONAL_CALL"
1000:e827,1000:f1f9,"UNCONDITIONAL_CALL"
1000:e84b,1000:e85d,"CONDITIONAL_JUMP"
1000:e850,1000:e85e,"CONDITIONAL_JUMP"
1000:e855,1000:e85d,"CONDITIONAL_JUMP"
1000:e85a,1000:e848,"CONDITIONAL_JUMP"
1000:e8d5,1000:e8d9,"CONDITIONAL_JUMP"
1000:e8d9,1000:f1fe,"UNCONDITIONAL_CALL"
1000:e906,1000:e90c,"CONDITIONAL_JUMP"
1000:e90a,1000:e94d,"UNCONDITIONAL_JUMP"
1000:e919,1000:f20e,"UNCONDITIONAL_CALL"
1000:e920,1000:e946,"CONDITIONAL_JUMP"
1000:e926,1000:e931,"CONDITIONAL_JUMP"
1000:e92a,1000:f3bb,"UNCONDITIONAL_CALL"
1000:e92f,1000:e940,"CONDITIONAL_JUMP"
1000:e933,1000:f4b5,"UNCONDITIONAL_CALL"
1000:e938,1000:e946,"CONDITIONAL_JUMP"
1000:e93e,1000:e912,"UNCONDITIONAL_JUMP"
1000:e944,1000:e912,"UNCONDITIONAL_JUMP"
1000:e992,1000:e996,"CONDITIONAL_JUMP"
1000:e996,1000:f1fe,"UNCONDITIONAL_CALL"
1000:e9ac,1000:e9b0,"CONDITIONAL_JUMP"
1000:e9b0,1000:f1fe,"UNCONDITIONAL_CALL"
1000:e9bf,1000:f2b2,"UNCONDITIONAL_CALL"
1000:e9e0,1000:f1fe,"UNCONDITIONAL_CALL"
1000:eaaf,1000:eab3,"CONDITIONAL_JUMP"
1000:eab3,1000:f1fe,"UNCONDITIONAL_CALL"
1000:eadc,1000:eae2,"CONDITIONAL_JUMP"
1000:eae2,1000:f1fe,"UNCONDITIONAL_CALL"
1000:eb0c,1000:eb13,"CONDITIONAL_JUMP"
1000:eb14,1000:f1fe,"UNCONDITIONAL_CALL"
1000:eb29,1000:eb08,"UNCONDITIONAL_JUMP"
1000:eb44,1000:eb49,"CONDITIONAL_JUMP"
1000:eb46,1000:efaf,"UNCONDITIONAL_CALL"
1000:ec3e,1000:ec6d,"UNCONDITIONAL_CALL"
1000:efac,1000:efbe,"CONDITIONAL_JUMP"
1000:efb0,1000:ec22,"UNCONDITIONAL_CALL"
1000:efcd,1000:eff8,"CONDITIONAL_JUMP"
1000:efd4,1000:efe6,"CONDITIONAL_JUMP"
1000:efd9,1000:efdf,"CONDITIONAL_JUMP"
1000:efdd,1000:efe6,"UNCONDITIONAL_JUMP"
1000:efe2,1000:efe6,"CONDITIONAL_JUMP"
1000:efe9,1000:efed,"CONDITIONAL_JUMP"
1000:eff6,1000:effc,"UNCONDITIONAL_JUMP"
1000:effe,1000:ec22,"UNCONDITIONAL_CALL"
1000:f029,1000:f02d,"CONDITIONAL_JUMP"
1000:f030,1000:f036,"CONDITIONAL_JUMP"
1000:f04b,1000:f052,"CONDITIONAL_JUMP"
1000:f050,1000:f059,"CONDITIONAL_JUMP"
1000:f056,1000:f0dc,"UNCONDITIONAL_JUMP"
1000:f05f,1000:f08c,"CONDITIONAL_JUMP"
1000:f063,1000:f5e1,"UNCONDITIONAL_CALL"
1000:f06c,1000:f0b9,"CONDITIONAL_JUMP"
1000:f073,1000:f07a,"CONDITIONAL_JUMP"
1000:f078,1000:f08c,"UNCONDITIONAL_JUMP"
1000:f092,1000:f20e,"UNCONDITIONAL_CALL"
1000:f099,1000:f0d3,"CONDITIONAL_JUMP"
1000:f09f,1000:f6b1,"UNCONDITIONAL_CALL"
1000:f0a4,1000:f08c,"CONDITIONAL_JUMP"
1000:f0b7,1000:f05d,"UNCONDITIONAL_JUMP"
1000:f0bb,1000:f7e2,"UNCONDITIONAL_CALL"
1000:f0c0,1000:f059,"CONDITIONAL_JUMP"
1000:f0c4,1000:f0d3,"CONDITIONAL_JUMP"
1000:f0c8,1000:e8f8,"UNCONDITIONAL_CALL"
1000:f0cf,1000:f0d3,"CONDITIONAL_JUMP"
1000:f103,1000:f0ff,"COMPUTED_CALL"
1000:f107,1000:f0ff,"COMPUTED_CALL"
1000:f10b,1000:f0ff,"COMPUTED_CALL"
1000:f111,1000:f15a,"UNCONDITIONAL_JUMP"
1000:f15d,1000:f0ff,"COMPUTED_CALL"
1000:f161,1000:f0ff,"COMPUTED_CALL"
1000:f16a,1000:f170,"CONDITIONAL_JUMP"
1000:f172,1000:e826,"UNCONDITIONAL_CALL"
1000:f182,1000:f197,"CONDITIONAL_JUMP"
1000:f187,1000:f192,"CONDITIONAL_JUMP"
1000:f18b,1000:f192,"CONDITIONAL_JUMP"
1000:f195,1000:f180,"UNCONDITIONAL_JUMP"
1000:f19a,1000:f1bc,"CONDITIONAL_JUMP"
1000:f1a3,1000:f1af,"CONDITIONAL_JUMP"
1000:f1a8,1000:f1ad,"CONDITIONAL_JUMP"
1000:f1ad,1000:f1b6,"UNCONDITIONAL_JUMP"
1000:f1b1,1000:f1b6,"CONDITIONAL_JUMP"
1000:f1ba,1000:f17b,"UNCONDITIONAL_JUMP"
1000:f1d2,1000:f176,"UNCONDITIONAL_CALL"
1000:f1ed,1000:f176,"UNCONDITIONAL_CALL"
1000:f1f5,1000:f1c3,"UNCONDITIONAL_CALL"
1000:f1f9,1000:f1de,"UNCONDITIONAL_CALL"
1000:f1fe,1000:f20b,"CONDITIONAL_JUMP"
1000:f204,1000:efbe,"UNCONDITIONAL_CALL"
1000:f209,1000:f20d,"UNCONDITIONAL_JUMP"
1000:f216,1000:f25b,"CONDITIONAL_JUMP"
1000:f21b,1000:f25b,"CONDITIONAL_JUMP"
1000:f22e,1000:f25b,"CONDITIONAL_JUMP"
1000:f238,1000:f23f,"CONDITIONAL_JUMP"
1000:f243,1000:f25f,"CONDITIONAL_JUMP"
1000:f256,1000:f23f,"CONDITIONAL_JUMP"
1000:f25d,1000:f2aa,"UNCONDITIONAL_JUMP"
1000:f26d,1000:f28d,"CONDITIONAL_JUMP"
1000:f28b,1000:f2a2,"UNCONDITIONAL_JUMP"
1000:f2af,1000:f3b6,"UNCONDITIONAL_JUMP"
1000:f2ba,1000:f2af,"CONDITIONAL_JUMP"
1000:f2c5,1000:f2af,"CONDITIONAL_JUMP"
1000:f2d1,1000:f2f2,"CONDITIONAL_JUMP"
1000:f2d6,1000:f2db,"CONDITIONAL_JUMP"
1000:f2f0,1000:f36e,"UNCONDITIONAL_JUMP"
1000:f2f9,1000:f309,"CONDITIONAL_JUMP"
1000:f2fe,1000:f36e,"CONDITIONAL_JUMP"
1000:f305,1000:f36e,"CONDITIONAL_JUMP"
1000:f307,1000:f318,"UNCONDITIONAL_JUMP"
1000:f30e,1000:f36e,"CONDITIONAL_JUMP"
1000:f316,1000:f36e,"CONDITIONAL_JUMP"
1000:f326,1000:f34d,"CONDITIONAL_JUMP"
1000:f331,1000:f335,"CONDITIONAL_JUMP"
1000:f33e,1000:f36e,"CONDITIONAL_JUMP"
1000:f343,1000:f34d,"CONDITIONAL_JUMP"
1000:f34b,1000:f339,"CONDITIONAL_JUMP"
1000:f352,1000:f357,"CONDITIONAL_JUMP"
1000:f359,1000:f36e,"CONDITIONAL_JUMP"
1000:f360,1000:f36e,"CONDITIONAL_JUMP"
1000:f367,1000:f36e,"CONDITIONAL_JUMP"
1000:f36c,1000:f357,"UNCONDITIONAL_JUMP"
1000:f37b,1000:f38d,"CONDITIONAL_JUMP"
1000:f384,1000:f389,"CONDITIONAL_JUMP"
1000:f38b,1000:f39e,"UNCONDITIONAL_JUMP"
1000:f3a4,1000:f3ae,"CONDITIONAL_JUMP"
1000:f3a9,1000:f3ae,"CONDITIONAL_JUMP"
1000:f3b1,1000:f3b6,"CONDITIONAL_JUMP"
