address	set_dptr	reads	writes	total
0x8A48	9	10	8	27
0x8A55	6	9	12	27
0x8A6B	14	9	4	27
0x8A5E	12	8	6	26
0x8A63	11	11	4	26
0x8ACF	0	26	0	26
0x80F7	12	5	8	25
0x8A49	6	11	8	25
0x8A50	10	13	2	25
0x8105	12	9	3	24
0x81BD	0	24	0	24
0x81BE	0	24	0	24
0x81BF	0	24	0	24
0x8A61	6	10	8	24
0x8A62	9	7	8	24
0x8A94	9	12	3	24
0x8ABE	8	16	0	24
0x8ADE	11	3	10	24
0x8A4E	14	7	2	23
0x8A65	3	14	6	23
0x8A8B	2	18	3	23
0x8A8C	6	15	2	23
0x8B41	7	8	8	23
0x8AAB	10	3	9	22
0x8AD9	6	6	10	22
0x8A60	6	8	7	21
0x80C9	10	10	0	20
0x81BA	9	5	6	20
0x81C0	14	6	0	20
0x8A68	7	8	5	20
0x8AA7	9	7	4	20
0x8AC1	16	4	0	20
0x8ACD	0	20	0	20
0x8AE2	10	6	4	20
0x8A5F	5	8	6	19
0x8A71	5	10	4	19
0x8A9F	6	5	8	19
0xFFFF	19	0	0	19
0x8149	9	5	4	18
0x8A58	2	12	4	18
0x8A73	9	8	1	18
0x8A96	7	5	6	18
0x805A	0	14	3	17
0x80F4	0	17	0	17
0x80F5	0	17	0	17
0x80F6	0	17	0	17
0x8A5B	3	9	5	17
0x8A76	6	9	2	17
0x8A8D	0	15	2	17
0x8A91	2	12	3	17
0x8085	8	2	6	16
0x80B9	8	2	6	16
0x810A	8	6	2	16
0x81DA	0	0	16	16
0x8A5D	3	8	5	16
0x8ADA	0	6	10	16
0x8052	0	12	3	15
0x805E	0	12	3	15
0x81BB	4	5	6	15
0x89F7	8	0	7	15
0x8A51	0	13	2	15
0x8A57	0	11	4	15
0x8A95	0	12	3	15
0x8AAE	5	3	7	15
0x5F80	7	7	0	14
0x7F80	7	7	0	14
0x8000	7	4	3	14
0x8033	7	3	4	14
0x80B7	7	3	4	14
0x80F8	1	5	8	14
0x8106	2	9	3	14
0x8A69	3	7	4	14
0x8A99	7	4	3	14
0x8ADC	6	4	4	14
0x8ADF	0	4	10	14
0x8A5C	3	7	3	13
0x8A93	0	10	3	13
0x8B42	3	5	5	13
