start_hex	end_hex	len
0x7B7D	0x7B7D	1
0x7B80	0x7C13	148
0x7C15	0x7D49	309
0x7D4C	0x7D4C	1
0x7D4E	0x7DA6	89
0x7DA8	0x7E1C	117
0x7E1E	0x7E3B	30
0x7E3D	0x7E8D	81
0x7E8F	0x7F3C	174
0x7F3E	0x7F47	10
0x7F4A	0x7FED	164
0x7FEF	0x7FF0	2
0x7FF3	0x8038	70
0x803A	0x803E	5
0x8040	0x8082	67
0x8084	0x809D	26
0x80A0	0x80B8	25
0x80BA	0x80E1	40
0x80E4	0x812E	75
0x8130	0x8131	2
0x8133	0x81A2	112
0x81A5	0x8255	177
0x8257	0x8296	64
0x8298	0x82A8	17
0x82AA	0x82AB	2
0x82AD	0x82EA	62
0x82EC	0x82FA	15
0x82FC	0x8303	8
0x8305	0x839F	155
0x83A1	0x83B3	19
0x83B5	0x8426	114
0x8428	0x846F	72
0x8471	0x8484	20
0x8486	0x84B5	48
0x84B7	0x84C1	11
0x84C3	0x84D9	23
0x84DB	0x8519	63
0x851B	0x8520	6
0x8522	0x8523	2
0x8525	0x859B	119
0x859D	0x85A7	11
0x85A9	0x85BC	20
0x85BE	0x860D	80
0x860F	0x861B	13
0x861D	0x866A	78
0x866D	0x8678	12
0x867A	0x8712	153
0x8714	0x8795	130
0x8797	0x879F	9
0x87A1	0x881D	125
0x8820	0x8875	86
0x8877	0x888D	23
0x888F	0x889C	14
0x889E	0x88B6	25
0x88B8	0x896A	179
0x896C	0x8976	11
0x8978	0x8991	26
0x8993	0x89B2	32
0x89B4	0x8A3B	136
0x8A3D	0x8A41	5
0x8A43	0x8A55	19
0x8A57	0x8A74	30
0x8A77	0x8A80	10
0x8A82	0x8A93	18
0x8A95	0x8AA2	14
0x8AA4	0x8AD6	51
0x8AD8	0x8AF2	27
0x8AF4	0x8B44	81
0x8B46	0x8B8C	71
0x8B8F	0x8B8F	1
0x8B91	0x8BA2	18
0x8BA4	0x8BCB	40
0x8BCD	0x8BD7	11
0x8BD9	0x8C4C	116
0x8C4F	0x8C4F	1
0x8C51	0x8D3B	235
0x8D3D	0x8D49	13
0x8D4B	0x8DB6	108
0x8DB9	0x8E32	122
0x8E35	0x8EC4	144
0x8EC6	0x8EFB	54
0x8EFD	0x8F09	13
0x8F0B	0x8F22	24
0x8F24	0x8FEC	201
0x8FF2	0x8FF2	1
0x8FF5	0x9077	131
0x9079	0x9092	26
0x9094	0x9094	1
0x9098	0x90B4	29
0x90B6	0x91CC	279
0x91CE	0x91EC	31
0x91EE	0x9223	54
0x9225	0x926B	71
0x926E	0x927C	15
0x927E	0x929B	30
0x929D	0x931A	126
0x931D	0x9355	57
0x9357	0x93A6	80
0x93A8	0x9412	107
0x9414	0x941C	9
0x941E	0x941E	1
0x9421	0x9427	7
0x9429	0x946C	68
0x946E	0x94A6	57
0x94A8	0x94E1	58
0x94E3	0x9507	37
0x950A	0x950C	3
0x950E	0x951F	18
0x9521	0x9523	3
0x9525	0x9550	44
0x9552	0x9552	1
0x9555	0x9555	1
0x9558	0x957A	35
0x957C	0x9591	22
0x9593	0x9594	2
0x9596	0x95A0	11
0x95A2	0x95A8	7
0x95AA	0x95AF	6
0x95B1	0x95D6	38
0x95D8	0x95E2	11
0x95E4	0x9613	48
0x9616	0x9616	1
0x9618	0x964E	55
0x9650	0x967E	47
0x9681	0x9681	1
0x9683	0x968A	8
0x968C	0x9719	142
0x971B	0x97C1	167
0x97C4	0x9843	128
0x9845	0x986B	39
0x986D	0x987F	19
0x9881	0x989F	31
0x98A1	0x98A7	7
0x98AA	0x98AA	1
0x98AC	0x98F5	74
0x98F7	0x98F7	1
0x98FA	0x98FA	1
0x98FD	0x9913	23
0x9915	0x9969	85
0x996B	0x9976	12
0x9978	0x998F	24
0x9991	0x9994	4
0x9996	0x9A04	111
0x9A06	0x9AED	232
0x9AEF	0x9B56	104
0x9B59	0x9B59	1
0x9B5B	0x9B8D	51
0x9B8F	0x9BD0	66
0x9BD2	0x9BDA	9
0x9BDC	0x9C19	62
0x9C1B	0x9C3C	34
0x9C3E	0x9C7F	66
0x9C81	0x9C9B	27
0x9C9D	0x9CA3	7
0x9CA5	0x9D26	130
0x9D28	0x9D45	30
0x9D47	0x9D47	1
0x9D4A	0x9DC1	120
0x9DC3	0x9DC3	1
0x9DC6	0x9DC6	1
0x9DC9	0x9E06	62
0x9E08	0x9E08	1
0x9E0B	0x9E68	94
0x9E6A	0x9E72	9
0x9E74	0x9E74	1
0x9E77	0x9E77	1
0x9E7A	0x9E83	10
0x9E85	0x9E85	1
0x9E88	0x9E93	12
0x9E95	0x9ECA	54
0x9ECC	0x9F46	123
0x9F48	0x9F4A	3
0x9F4C	0x9F53	8
0x9F55	0x9F61	13
0x9F63	0x9FF0	142
0x9FF2	0xA026	53
0xA028	0xA048	33
0xA04A	0xA075	44
0xA077	0xA077	1
0xA07A	0xA07A	1
0xA07D	0xA0ED	113
0xA0F0	0xA185	150
0xA187	0xA1FE	120
0xA200	0xA206	7
0xA208	0xA2A5	158
0xA2A7	0xA2D0	42
0xA2D2	0xA2D2	1
0xA2D4	0xA2D8	5
0xA2DB	0xA2DB	1
0xA2DD	0xA306	42
0xA308	0xA38F	136
0xA392	0xA3B3	34
0xA3B6	0xA3B6	1
0xA3B9	0xA3B9	1
0xA3BC	0xA3BD	2
0xA3BF	0xA3C5	7
0xA3C7	0xA3D8	18
0xA3DA	0xA3DC	3
0xA3DE	0xA40C	47
0xA40E	0xA45C	79
0xA45E	0xA476	25
0xA478	0xA480	9
0xA482	0xA483	2
0xA485	0xA485	1
0xA488	0xA4BF	56
0xA4C1	0xA511	81
0xA514	0xA53C	41
0xA53E	0xA667	298
0xA66B	0xA67A	16
0xA67C	0xA690	21
0xA692	0xA6F2	97
0xA6F4	0xA79A	167
0xA79C	0xA82B	144
0xA82D	0xA866	58
0xA868	0xA87A	19
0xA87C	0xA87D	2
0xA880	0xA880	1
0xA882	0xA922	161
0xA924	0xA94F	44
0xA951	0xA96B	27
0xA96D	0xA9B4	72
0xA9B6	0xAA08	83
0xAA0A	0xAA65	92
0xAA67	0xAAD9	115
0xAADB	0xAAE4	10
0xAAE6	0xAB52	109
0xAB54	0xAB89	54
0xAB8B	0xAB8B	1
0xAB8E	0xAB8E	1
0xAB91	0xABED	93
0xABEF	0xABEF	1
0xABF2	0xAC39	72
0xAC3B	0xAC3B	1
0xAC3E	0xAC96	89
0xAC98	0xAC98	1
0xAC9B	0xACCD	51
0xACCF	0xACEA	28
0xACEC	0xAD0C	33
0xAD0E	0xADB1	164
0xADB3	0xADB3	1
0xADB6	0xADFC	71
0xADFE	0xAE76	121
0xAE78	0xAED4	93
0xAED7	0xAF8C	182
0xAF8E	0xAFA0	19
0xAFA2	0xB002	97
0xB004	0xB004	1
0xB007	0xB01B	21
0xB01F	0xB01F	1
0xB021	0xB02C	12
0xB02E	0xB0A9	124
0xB0AB	0xB0C2	24
0xB0C4	0xB0FF	60
0xB101	0xB1BC	188
0xB1BF	0xB1BF	1
0xB1C1	0xB20C	76
0xB20E	0xB220	19
0xB222	0xB23D	28
0xB23F	0xB2BB	125
0xB2BD	0xB2BF	3
0xB2C1	0xB2E6	38
0xB2E8	0xB2EA	3
0xB2EC	0xB319	46
0xB31B	0xB35C	66
0xB35E	0xB371	20
0xB373	0xB374	2
0xB377	0xB377	1
0xB37D	0xB3D9	93
0xB3DB	0xB3DD	3
0xB3DF	0xB3ED	15
0xB3F0	0xB3F0	1
0xB3F2	0xB3F9	8
0xB3FB	0xB3FF	5
0xB401	0xB415	21
0xB417	0xB435	31
0xB437	0xB453	29
0xB455	0xB467	19
0xB469	0xB46A	2
0xB46C	0xB46C	1
0xB46E	0xB46E	1
0xB470	0xB475	6
0xB477	0xB579	259
0xB57B	0xB57F	5
0xB581	0xB5B2	50
0xB5B4	0xB5F0	61
0xB5F2	0xB5F3	2
0xB5F5	0xB5FC	8
0xB5FE	0xB65F	98
0xB661	0xB661	1
0xB663	0xB66F	13
0xB671	0xB6AE	62
0xB6B0	0xB70D	94
0xB70F	0xB763	85
0xB765	0xB785	33
0xB787	0xB787	1
0xB789	0xB789	1
0xB78B	0xB803	121
0xB805	0xB875	113
0xB877	0xB8D3	93
0xB8D5	0xB8D5	1
0xB8D7	0xB924	78
0xB926	0xB953	46
0xB955	0xB983	47
0xB986	0xB986	1
0xB988	0xB988	1
0xB98B	0xB98B	1
0xB98E	0xB98E	1
0xB991	0xB9A8	24
0xB9AA	0xB9B4	11
0xB9B6	0xBAC2	269
0xBAC4	0xBB37	116
0xBB39	0xBB6E	54
0xBB70	0xBC51	226
0xBC53	0xBC53	1
0xBC56	0xBC56	1
0xBC59	0xBC5C	4
0xBC5E	0xBC9B	62
0xBC9D	0xBD30	148
0xBD32	0xBD64	51
0xBD66	0xBD90	43
0xBD92	0xBD99	8
0xBD9B	0xBE28	142
0xBE2A	0xBE9C	115
0xBE9E	0xBEFD	96
0xBEFF	0xBF12	20
0xBF15	0xBF17	3
0xBF19	0xBF46	46
0xBF49	0xBF4B	3
0xBF4D	0xBFA3	87
0xBFA5	0xBFC5	33
0xBFC7	0xBFD2	12
0xBFD4	0xBFFB	40
0xBFFD	0xC0DC	224
0xC0DF	0xC106	40
0xC108	0xC108	1
0xC10B	0xC10B	1
0xC10E	0xC134	39
0xC136	0xC13F	10
0xC141	0xC20A	202
0xC20C	0xC253	72
0xC255	0xC286	50
0xC288	0xC2A7	32
0xC2A9	0xC32F	135
0xC331	0xC39D	109
0xC39F	0xC3A8	10
0xC3AA	0xC3AA	1
0xC3AC	0xC437	140
0xC439	0xC485	77
0xC487	0xC4C6	64
0xC4C8	0xC4D0	9
0xC4D2	0xC4D2	1
0xC4D5	0xC4DC	8
0xC4DE	0xC57A	157
0xC57C	0xC5FE	131
0xC601	0xC60F	15
0xC611	0xC62D	29
0xC62F	0xC6D6	168
0xC6D8	0xC74A	115
0xC74C	0xC768	29
0xC76A	0xC76A	1
0xC76D	0xC789	29
0xC78B	0xC7A9	31
0xC7AB	0xC7CF	37
0xC7D1	0xC7E8	24
0xC7EA	0xC824	59
0xC82A	0xC82A	1
0xC82C	0xC82C	1
0xC82E	0xC82F	2
0xC83E	0xC856	25
0xC858	0xC8A1	74
0xC8A3	0xC8BF	29
0xC8C1	0xC8FA	58
0xC8FC	0xCA3B	320
0xCA3D	0xCA3E	2
0xCA40	0xCA50	17
0xCA52	0xCA5C	11
0xCA5E	0xCA69	12
0xCA6B	0xCA7E	20
0xCA82	0xCA85	4
0xCA87	0xCAC3	61
0xCAC5	0xCAD7	19
0xCAD9	0xCB07	47
0xCB09	0xCB0A	2
0xCB0C	0xCB12	7
0xCB14	0xCB1C	9
0xCB1E	0xCB8C	111
0xCB8E	0xCC48	187
0xCC4A	0xCC5C	19
0xCC5E	0xCC68	11
0xCC6A	0xCC70	7
0xCC72	0xCCE3	114
0xCCE5	0xCCE7	3
0xCCE9	0xCCEA	2
0xCCEC	0xCD19	46
0xCD1B	0xCD7B	97
0xCD7D	0xCD7D	1
0xCD80	0xCD82	3
0xCD84	0xCDA6	35
0xCDA8	0xCDAE	7
0xCDB0	0xCDB4	5
0xCDB6	0xCDFB	70
0xCDFD	0xCE03	7
0xCE05	0xCE4A	70
0xCE4C	0xCEB6	107
0xCEB8	0xCF3A	131
0xCF3C	0xCFD9	158
0xCFDB	0xD088	174
0xD08A	0xD0D3	74
0xD0D5	0xD0DD	9
0xD0E0	0xD0E0	1
0xD0E2	0xD112	49
0xD114	0xD15B	72
0xD15D	0xD19C	64
0xD19F	0xD19F	1
0xD1A1	0xD1A1	1
0xD1A4	0xD1BB	24
0xD1BD	0xD33B	383
0xD33D	0xD343	7
0xD345	0xD345	1
0xD348	0xD35C	21
0xD35E	0xD35F	2
0xD361	0xD362	2
0xD366	0xD385	32
0xD387	0xD3D0	74
0xD3D3	0xD425	83
0xD427	0xD42D	7
0xD42F	0xD42F	1
0xD432	0xD438	7
0xD43A	0xD449	16
0xD44B	0xD44C	2
0xD44E	0xD44E	1
0xD451	0xD46D	29
0xD46F	0xD474	6
0xD476	0xD4B1	60
0xD4B3	0xD4C4	18
0xD4C6	0xD4EA	37
0xD4EC	0xD55F	116
0xD561	0xD573	19
0xD575	0xD589	21
0xD58C	0xD5BC	49
0xD5BE	0xD61B	94
0xD61D	0xD637	27
0xD639	0xD68D	85
0xD68F	0xD6D0	66
0xD6D2	0xD786	181
0xD788	0xD788	1
0xD78B	0xD78E	4
0xD790	0xD791	2
0xD793	0xD7A7	21
0xD7A9	0xD7CB	35
0xD7CE	0xD7F7	42
0xD7F9	0xD803	11
0xD805	0xD80D	9
0xD80F	0xD837	41
0xD839	0xD85C	36
0xD85E	0xD8CF	114
0xD8D1	0xD907	55
0xD909	0xD935	45
0xD938	0xD9B3	124
0xD9B6	0xD9B8	3
0xD9BA	0xD9D2	25
0xD9D4	0xD9D7	4
0xD9D9	0xDA2F	87
0xDA31	0xDAAB	123
0xDAAE	0xDBAD	256
0xDBAF	0xDC36	136
0xDC38	0xDC79	66
0xDC7B	0xDC81	7
0xDC83	0xDCBB	57
0xDCBD	0xDD61	165
0xDD63	0xDD63	1
0xDD65	0xDD65	1
0xDD67	0xDD67	1
0xDD69	0xDDEB	131
0xDDEE	0xDDF1	4
0xDDF3	0xDE04	18
0xDE07	0xDE0B	5
0xDE0E	0xDE75	104
0xDE77	0xDEDF	105
0xDEE1	0xDF1F	63
0xDF21	0xDF51	49
0xDF54	0xDF99	70
0xDF9C	0xDFC7	44
0xDFC9	0xE025	93
0xE027	0xE027	1
0xE02A	0xE03A	17
0xE03C	0xE082	71
0xE084	0xE087	4
0xE089	0xE0A6	30
0xE0A8	0xE0C8	33
0xE0CB	0xE0D6	12
0xE0D9	0xE10E	54
0xE110	0xE17D	110
0xE17F	0xE19C	30
0xE19E	0xE1B8	27
0xE1BA	0xE1E3	42
0xE1E5	0xE1F2	14
0xE1F4	0xE1F4	1
0xE1F7	0xE274	126
0xE276	0xE2AB	54
0xE2AE	0xE2AE	1
0xE2B0	0xE2F6	71
0xE2F9	0xE310	24
0xE313	0xE34C	58
0xE34F	0xE34F	1
0xE351	0xE351	1
0xE354	0xE35B	8
0xE35D	0xE361	5
0xE363	0xE3A7	69
0xE3A9	0xE3C2	26
0xE3C4	0xE3C4	1
0xE3C7	0xE401	59
0xE403	0xE46F	109
0xE471	0xE47D	13
0xE47F	0xE4FC	126
0xE4FE	0xE507	10
0xE509	0xE580	120
0xE582	0xE584	3
0xE586	0xE594	15
0xE596	0xE5FC	103
0xE5FE	0xE5FF	2
0xE601	0xE601	1
0xE603	0xE603	1
0xE605	0xE608	4
0xE60A	0xE60D	4
0xE60F	0xE60F	1
0xE612	0xE612	1
0xE615	0xE615	1
0xE617	0xE66F	89
0xE671	0xE680	16
0xE682	0xE6A4	35
0xE6A6	0xE6B3	14
0xE6B5	0xE716	98
0xE718	0xE75C	69
0xE75E	0xE78B	46
0xE78D	0xE7A4	24
0xE7A6	0xE91C	375
0xE91F	0xE985	103
0xE987	0xE9A5	31
0xE9A7	0xE9F0	74
0xE9F2	0xEA18	39
0xEA1A	0xEA4C	51
0xEA4E	0xEB95	328
0xEB97	0xEC31	155
0xEC33	0xEC34	2
0xEC36	0xEC85	80
0xEC87	0xEC8A	4
0xEC8C	0xEC8D	2
0xEC8F	0xEC90	2
0xEC92	0xECC7	54
0xECC9	0xED75	173
0xED78	0xEDBC	69
0xEDBE	0xEDBE	1
0xEDC0	0xEDC0	1
0xEDC2	0xEE26	101
0xEE28	0xEE28	1
0xEE2B	0xEE76	76
0xEE79	0xEE9C	36
0xEE9E	0xEEA3	6
0xEEA5	0xEEEC	72
0xEEEE	0xEEFA	13
0xEEFD	0xEEFD	1
0xEEFF	0xEEFF	1
0xEF02	0xEFF5	244
0xEFF7	0xF016	32
0xF019	0xF082	106
0xF084	0xF08B	8
0xF08D	0xF0C4	56
0xF0C6	0xF0C8	3
0xF0CA	0xF0CD	4
0xF0CF	0xF0EA	28
0xF0EC	0xF0ED	2
0xF0EF	0xF0EF	1
0xF0F1	0xF135	69
0xF137	0xF14B	21
0xF14D	0xF15E	18
0xF160	0xF190	49
0xF192	0xF1C7	54
0xF1C9	0xF216	78
0xF218	0xF24A	51
0xF24C	0xF256	11
0xF258	0xF26A	19
0xF26C	0xF293	40
0xF296	0xF29E	9
0xF2A0	0xF2A7	8
0xF2A9	0xF2A9	1
0xF2AB	0xF2D9	47
0xF2DE	0xF3D2	245
0xF3D4	0xF3D6	3
0xF3D8	0xF3E6	15
0xF3E8	0xF42D	70
0xF42F	0xF440	18
0xF442	0xF478	55
0xF47A	0xF4A8	47
0xF4AA	0xF506	93
0xF508	0xF521	26
0xF523	0xF59F	125
0xF5A1	0xF5FC	92
0xF5FE	0xF68A	141
0xF68C	0xF6A5	26
0xF6A7	0xF6B5	15
0xF6B7	0xF6DF	41
0xF6E1	0xF6FD	29
0xF6FF	0xF70C	14
0xF70E	0xF77E	113
0xF780	0xF7AC	45
0xF7AE	0xF848	155
0xF84A	0xF85D	20
0xF85F	0xF896	56
0xF898	0xF901	106
0xF903	0xF903	1
0xF905	0xF920	28
0xF922	0xF949	40
0xF94B	0xF96C	34
0xF96E	0xF99A	45
0xF99C	0xFA18	125
0xFA1A	0xFA3E	37
0xFA40	0xFA6D	46
0xFA6F	0xFAD1	99
0xFAD3	0xFAFE	44
0xFB00	0xFB16	23
0xFB18	0xFB2E	23
0xFB30	0xFB3A	11
0xFB3C	0xFB48	13
0xFB4A	0xFB68	31
0xFB6A	0xFB71	8
0xFB73	0xFB8E	28
0xFB90	0xFB9D	14
0xFB9F	0xFBA8	10
0xFBAA	0xFBB7	14
0xFBB9	0xFBD6	30
0xFBD8	0xFC2A	83
0xFC2C	0xFC7F	84
0xFC81	0xFC8D	13
0xFC8F	0xFC9B	13
0xFC9D	0xFFF7	859
0xFFFA	0xFFFF	6
