sheet	cell	value
Sheet1	D39	Landon Leopold
Sheet1	E39	2000-02-18 00:00:00
Sheet1	A40	LC103
Sheet1	B40	CAPS READ 18XXX UF
Sheet1	C40	U1057
Sheet1	D40	Landon Leopold
Sheet1	E40	2000-05-19 00:00:00
Sheet1	A41	LC103
Sheet1	B41	Unit will beep "FUSE OPEN". Pulse present on F1.
Sheet1	C41	K1001, tapping on this relay would produce this condition.
Sheet1	D41	Landon Leopold
Sheet1	E41	2000-06-07 00:00:00
Sheet1	A42	LC103
Sheet1	B42	LEADS OUT OF CAP RANGE
Sheet1	C42	D15 SHORTED OR LEAKY.
Sheet1	D42	Ed Griffith
Sheet1	E42	2000-07-11 00:00:00
Sheet1	A43	LC103
Sheet1	B43	LEAD ZERO SHORT DISPLAYS "LEAD RESISTANCE OUT OF RANGE"
Sheet1	C43	F1 OPEN
Sheet1	D43	Landon Leopold
Sheet1	E43	2000-07-22 00:00:00
Sheet1	A44	LC103
Sheet1	B44	Lead zero open and cap value read "Cap discharging".
Sheet1	C44	Q1012
Sheet1	D44	Aaron Munson
Sheet1	E44	2001-11-09 00:00:00
Sheet1	A45	LC103
Sheet1	B45	RANGES ON ISRC HIGH LINE WILL NOT CAL
Sheet1	C45	U1013
Sheet1	D45	Aaron Munson
Sheet1	E45	2001-12-13 00:00:00
Sheet1	A46	LC103
Sheet1	B46	IN-CIRCUIT CAPS READ CAP DISCHARGING
Sheet1	C46	U1002
Sheet1	D46	Aaron Munson
Sheet1	E46	2001-12-26 00:00:00
Sheet1	A47	LC103
Sheet1	B47	Says"Wait Voltage on Leads" on power up
Sheet1	C47	R'2 U1057
Sheet1	D47	David Waples
Sheet1	E47	2002-05-06 00:00:00
Sheet1	A48	LC103
Sheet1	B48	Unit powers off when lkg button is pushed
Sheet1	C48	U2002 bad. Was putting out 5V, should be 0v.
Sheet1	D48	David Waples
Sheet1	E48	2002-05-20 00:00:00
Sheet1	A49	LC103
Sheet1	B49	UNIT FAILS BATTERY FULL CHARGE TEST
U2005 WRONG PART LC103 HAS 2 BOM FOR CHARGER BOARD
Sheet1	C49	INSTALL CORRECT U2005
Sheet1	D49	Larry Wilson
Sheet1	E49	2002-10-07 00:00:00
Sheet1	A50	LC103
Sheet1	B50	Fails first range of current source cal.
Sheet1	C50	K1 relay intermittent.  Unit would work about 1 out of 10 times.  Could not lead zero, leakage voltage was low, only low range caps worked.
Sheet1	D50	Kevin Schrank
Sheet1	E50	2003-01-14 00:00:00
Sheet1	A51	LC103
Sheet1	B51	N0 1.5MH INDUCTANCE
Sheet1	C51	U1013
U1007
Sheet1	D51	Ed Griffith
Sheet1	E51	2000-07-11 00:00:00
Sheet1	A52	LC103
Sheet1	B52	Ringers drift several counts
Sheet1	C52	Replaced IC1035, IC1042
Sheet1	D52	David Waples
Sheet1	E52	2002-06-21 00:00:00
Sheet1	A53	LC103
Sheet1	B53	Fails leakage current - 9uA range.
Sheet1	C53	Add on cap on D2015 and D2016 was missing.
Sheet1	D53	Kevin Schrank
Sheet1	E53	2003-01-20 00:00:00
Sheet1	A54	LC103
Sheet1	B54	Unit will beep "FUSE OPEN" on power up.
Sheet1	C54	U1057 bad
Sheet1	D54	David Waples
Sheet1	E54	2010-06-12 00:00:00
Sheet1	A55	LC103
Sheet1	B55	CAP VALUE OUT OF CIRCUIT READS "CAP DISCHARGING" AND ESR DOESN'T WORK
Sheet1	C55	U1002
Sheet1	D55	Mike Germaine
Sheet1	E55	1999-09-07 14:16:19
Sheet1	A56	LC103
Sheet1	B56	Unit displayed "No component type selected" on power up.
Sheet1	C56	U1053
Sheet1	D56	Kevin Schrank
Sheet1	E56	2003-10-08 00:00:00
Sheet1	A57	LC103
Sheet1	B57	Unit flashes 'wait' then flashes 0 to 8's.
Sheet1	C57	IC2015 had an output of 2.6V, should be  0V after power up.
Sheet1	E57	2003-02-27 00:00:00
Sheet1	A58	LC103
Sheet1	B58	Unit powers on when plugged in
Sheet1	C58	Q1043 bad
Sheet1	D58	David Waples
Sheet1	E58	2002-08-15 00:00:00
Sheet1	A59	LC103
Sheet1	B59	Will not power up
Sheet1	C59	IC2045
Sheet1	E59	2002-03-20 00:00:00
Sheet1	A60	LC103
Sheet1	B60	D/A fails the zero range. 10% appears to be normal
Sheet1	C60	D1042 leaky
Sheet1	D60	David Waples
Sheet1	E60	2002-07-24 00:00:00
Sheet1	A61	LC103
Sheet1	B61	No caps, lkg., or ESR
Sheet1	C61	U1029
Sheet1	D61	David Waples
Sheet1	E61	2002-06-18 00:00:00
Sheet1	A62	LC103
Sheet1	B62	Range 1 of inductance will not read, 1H to ~100 mH, comes up blank on LCD display
Sheet1	C62	U1013 inductance range clamp was bad, was clamping all the time just in that range
Sheet1	D62	Andrew Wixon
Sheet1	E62	2007-07-03 00:00:00
Sheet1	A63	LC103
Sheet1	B63	Caps read 0.0 PF Inductance reads 8.xx mH nothing works correctly.  Caps reads out of range
Sheet1	C63	y1001, wasn't putting out 40 MHZ clock
Sheet1	D63	Andrew Wixon
Sheet1	E63	2008-02-25 00:00:00
